aleatoric_log_variance_rmse_exact_sign_p,aleatoric_log_variance_rmse_higher_is_better,aleatoric_log_variance_rmse_matched_pairs_rank_biserial_left_better_positive,aleatoric_log_variance_rmse_pair_count,aleatoric_log_variance_rmse_tie_count,aleatoric_log_variance_rmse_wilcoxon_nonzero_pair_count,aleatoric_log_variance_rmse_wilcoxon_p,aleatoric_log_variance_rmse_wilcoxon_p_holm,aleatoric_log_variance_rmse_wilcoxon_p_holm_family,aleatoric_log_variance_rmse_wilcoxon_statistic,aleatoric_upper_coverage_exact_sign_p,aleatoric_upper_coverage_higher_is_better,aleatoric_upper_coverage_matched_pairs_rank_biserial_left_better_positive,aleatoric_upper_coverage_pair_count,aleatoric_upper_coverage_tie_count,aleatoric_upper_coverage_wilcoxon_nonzero_pair_count,aleatoric_upper_coverage_wilcoxon_p,aleatoric_upper_coverage_wilcoxon_p_holm,aleatoric_upper_coverage_wilcoxon_p_holm_family,aleatoric_upper_coverage_wilcoxon_statistic,aleatoric_variance_rmse_exact_sign_p,aleatoric_variance_rmse_higher_is_better,aleatoric_variance_rmse_matched_pairs_rank_biserial_left_better_positive,aleatoric_variance_rmse_pair_count,aleatoric_variance_rmse_tie_count,aleatoric_variance_rmse_wilcoxon_nonzero_pair_count,aleatoric_variance_rmse_wilcoxon_p,aleatoric_variance_rmse_wilcoxon_p_holm,aleatoric_variance_rmse_wilcoxon_p_holm_family,aleatoric_variance_rmse_wilcoxon_statistic,aleatoric_variance_shape_correlation_exact_sign_p,aleatoric_variance_shape_correlation_higher_is_better,aleatoric_variance_shape_correlation_matched_pairs_rank_biserial_left_better_positive,aleatoric_variance_shape_correlation_pair_count,aleatoric_variance_shape_correlation_tie_count,aleatoric_variance_shape_correlation_wilcoxon_nonzero_pair_count,aleatoric_variance_shape_correlation_wilcoxon_p,aleatoric_variance_shape_correlation_wilcoxon_p_holm,aleatoric_variance_shape_correlation_wilcoxon_p_holm_family,aleatoric_variance_shape_correlation_wilcoxon_statistic,both_feasible_regret_pair_count,certificate_mcnemar_exact_p,certificate_mcnemar_exact_p_holm,certificate_mcnemar_exact_p_holm_family,comparison_id,feasibility_mcnemar_exact_p,feasibility_mcnemar_exact_p_holm,feasibility_mcnemar_exact_p_holm_family,left_aleatoric_log_variance_rmse_win_count,left_aleatoric_upper_coverage_win_count,left_aleatoric_variance_rmse_win_count,left_aleatoric_variance_shape_correlation_win_count,left_certificate_gain_count,left_certificate_loss_count,left_certified_count,left_false_certificate_count,left_loss_count,left_mean_aleatoric_log_variance_rmse,left_mean_aleatoric_upper_coverage,left_mean_aleatoric_variance_rmse,left_mean_aleatoric_variance_shape_correlation,left_mean_optimization_calls_excluding_verification,left_mean_source_calls,left_mean_source_plus_target_total_calls,left_mean_target_adaptive_search_calls,left_mean_target_initial_design_calls,left_mean_target_objective_comparison_calls,left_mean_target_safety_verification_calls,left_mean_target_search_calls,left_mean_target_total_calls,left_mean_target_verification_calls,left_method,left_regret_win_count,left_rescue_count,left_track,left_true_feasible_count,median_paired_aleatoric_log_variance_rmse_difference_ci_high,median_paired_aleatoric_log_variance_rmse_difference_ci_low,median_paired_aleatoric_log_variance_rmse_difference_left_minus_right,median_paired_aleatoric_upper_coverage_difference_ci_high,median_paired_aleatoric_upper_coverage_difference_ci_low,median_paired_aleatoric_upper_coverage_difference_left_minus_right,median_paired_aleatoric_variance_rmse_difference_ci_high,median_paired_aleatoric_variance_rmse_difference_ci_low,median_paired_aleatoric_variance_rmse_difference_left_minus_right,median_paired_aleatoric_variance_shape_correlation_difference_ci_high,median_paired_aleatoric_variance_shape_correlation_difference_ci_low,median_paired_aleatoric_variance_shape_correlation_difference_left_minus_right,median_paired_regret_difference_ci_high,median_paired_regret_difference_ci_low,median_paired_regret_difference_left_minus_right,pair_count,paired_feasible_rate_difference,paired_feasible_rate_difference_ci_high,paired_feasible_rate_difference_ci_low,paired_regret_rank_biserial_left_better_positive,regret_exact_sign_p,regret_tie_count,regret_wilcoxon_nonzero_pair_count,regret_wilcoxon_p,regret_wilcoxon_p_holm,regret_wilcoxon_p_holm_family,regret_wilcoxon_statistic,right_aleatoric_log_variance_rmse_win_count,right_aleatoric_upper_coverage_win_count,right_aleatoric_variance_rmse_win_count,right_aleatoric_variance_shape_correlation_win_count,right_certified_count,right_false_certificate_count,right_mean_aleatoric_log_variance_rmse,right_mean_aleatoric_upper_coverage,right_mean_aleatoric_variance_rmse,right_mean_aleatoric_variance_shape_correlation,right_mean_optimization_calls_excluding_verification,right_mean_source_calls,right_mean_source_plus_target_total_calls,right_mean_target_adaptive_search_calls,right_mean_target_initial_design_calls,right_mean_target_objective_comparison_calls,right_mean_target_safety_verification_calls,right_mean_target_search_calls,right_mean_target_total_calls,right_mean_target_verification_calls,right_method,right_regret_win_count,right_track,right_true_feasible_count,stratum
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,60,1.0,,,final_saas_vs_proposal_only,1.0,,,0,0,0,0,0,0,60,0,0,,,,,397.0,384.0,573.5333333333333,3.0,10.0,9.066666666666666,167.46666666666667,13.0,189.53333333333333,176.53333333333333,canonical_saasbo_every_iteration,30,0,final_frontend_backend_factorial_d1000_n13,60,,,,,,,,,,,,,0.0,-0.0016516143344406653,-0.00013337847647945655,60,0.0,0.0,0.0,0.9621212121212122,2.4633482098579407e-07,28,32,2.0023435354232788e-08,,,10.0,0,0,0,0,60,0,,,,,394.0,384.0,497.46666666666664,0.0,10.0,0.0,103.46666666666667,10.0,113.46666666666667,103.46666666666667,frozen_crossdim_proposal_only,2,final_frontend_backend_factorial_d1000_n13,60,all
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,final_saas_vs_proposal_only,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,489.8,3.0,10.0,0.0,92.8,13.0,105.8,92.8,canonical_saasbo_every_iteration,0,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,1.0,20,0,1.0,,,0.0,0,0,0,0,20,0,,,,,394.0,384.0,474.0,0.0,10.0,0.0,80.0,10.0,90.0,80.0,frozen_crossdim_proposal_only,0,final_frontend_backend_factorial_d1000_n13,20,domain=FactorShockStatePolicyRZDT1
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,final_saas_vs_proposal_only,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,613.0,3.0,10.0,14.4,201.6,13.0,229.0,216.0,canonical_saasbo_every_iteration,15,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,-0.00582218808317031,-0.009279974615068937,-0.008491626686843973,20,0.0,0.0,0.0,1.0,6.103515625e-05,5,15,6.103515625e-05,,,0.0,0,0,0,0,20,0,,,,,394.0,384.0,512.4,0.0,10.0,0.0,118.4,10.0,128.4,118.4,frozen_crossdim_proposal_only,0,final_frontend_backend_factorial_d1000_n13,20,domain=InventorySupplyChain
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,final_saas_vs_proposal_only,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,617.8,3.0,10.0,12.8,208.0,13.0,233.8,220.8,canonical_saasbo_every_iteration,15,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,-0.0005735503538054076,-0.0016843884405111365,-0.0011994544530989637,20,0.0,0.0,0.0,0.869281045751634,0.002349853515625,3,17,0.0006561279296875,,,10.0,0,0,0,0,20,0,,,,,394.0,384.0,506.0,0.0,10.0,0.0,112.0,10.0,122.0,112.0,frozen_crossdim_proposal_only,2,final_frontend_backend_factorial_d1000_n13,20,domain=QueueResourceControl
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,60,1.0,,,final_saas_vs_scolh_v69,1.0,,,0,0,0,0,0,0,60,0,0,,,,,397.0,384.0,573.5333333333333,3.0,10.0,9.066666666666666,167.46666666666667,13.0,189.53333333333333,176.53333333333333,canonical_saasbo_every_iteration,29,0,final_frontend_backend_factorial_d1000_n13,60,,,,,,,,,,,,,0.0,-0.001469902804873302,0.0,60,0.0,0.0,0.0,0.8618618618618619,0.00031255115754902363,24,36,6.513250815641719e-06,,,46.0,0,0,0,0,60,0,,,,,397.0,384.0,552.7333333333333,3.0,10.0,0.0,155.73333333333332,13.0,168.73333333333332,155.73333333333332,scolh:v69_feasible_first_verified_initial_incumbent,7,final_frontend_backend_factorial_d1000_n13,60,all
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,final_saas_vs_scolh_v69,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,489.8,3.0,10.0,0.0,92.8,13.0,105.8,92.8,canonical_saasbo_every_iteration,0,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,1.0,20,0,1.0,,,0.0,0,0,0,0,20,0,,,,,397.0,384.0,477.0,3.0,10.0,0.0,80.0,13.0,93.0,80.0,scolh:v69_feasible_first_verified_initial_incumbent,0,final_frontend_backend_factorial_d1000_n13,20,domain=FactorShockStatePolicyRZDT1
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,final_saas_vs_scolh_v69,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,613.0,3.0,10.0,14.4,201.6,13.0,229.0,216.0,canonical_saasbo_every_iteration,15,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,-0.00582218808317031,-0.008900384477800727,-0.008302042330318865,20,0.0,0.0,0.0,0.9298245614035088,0.007537841796875,2,18,0.0005348563282113272,,,6.0,0,0,0,0,20,0,,,,,397.0,384.0,601.8,3.0,10.0,0.0,204.8,13.0,217.8,204.8,scolh:v69_feasible_first_verified_initial_incumbent,3,final_frontend_backend_factorial_d1000_n13,20,domain=InventorySupplyChain
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,final_saas_vs_scolh_v69,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,617.8,3.0,10.0,12.8,208.0,13.0,233.8,220.8,canonical_saasbo_every_iteration,14,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,-0.00014814476464286574,-0.0016517090481205643,-0.0009615828101167401,20,0.0,0.0,0.0,0.7076023391812866,0.0308837890625,2,18,0.0065765380859375,,,25.0,0,0,0,0,20,0,,,,,397.0,384.0,579.4,3.0,10.0,0.0,182.4,13.0,195.4,182.4,scolh:v69_feasible_first_verified_initial_incumbent,4,final_frontend_backend_factorial_d1000_n13,20,domain=QueueResourceControl
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,60,1.0,,,stacked_vs_proposal_only,1.0,,,0,0,0,0,0,0,60,0,0,,,,,397.0,384.0,487.93333333333334,3.0,10.0,0.26666666666666666,90.66666666666667,13.0,103.93333333333334,90.93333333333334,stacked_transfer_gp_cbo:official_transfergpbo_code,1,0,final_frontend_backend_factorial_d1000_n13,60,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.0,0.0,1.0,1.0,59,1,1.0,,,0.0,0,0,0,0,60,0,,,,,394.0,384.0,497.46666666666664,0.0,10.0,0.0,103.46666666666667,10.0,113.46666666666667,103.46666666666667,frozen_crossdim_proposal_only,0,final_frontend_backend_factorial_d1000_n13,60,all
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,stacked_vs_proposal_only,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,477.0,3.0,10.0,0.0,80.0,13.0,93.0,80.0,stacked_transfer_gp_cbo:official_transfergpbo_code,0,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,1.0,20,0,1.0,,,0.0,0,0,0,0,20,0,,,,,394.0,384.0,474.0,0.0,10.0,0.0,80.0,10.0,90.0,80.0,frozen_crossdim_proposal_only,0,final_frontend_backend_factorial_d1000_n13,20,domain=FactorShockStatePolicyRZDT1
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,stacked_vs_proposal_only,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,484.2,3.0,10.0,0.8,86.4,13.0,100.2,87.2,stacked_transfer_gp_cbo:official_transfergpbo_code,1,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,0.0,0.0,0.0,20,0.0,0.0,0.0,1.0,1.0,19,1,1.0,,,0.0,0,0,0,0,20,0,,,,,394.0,384.0,512.4,0.0,10.0,0.0,118.4,10.0,128.4,118.4,frozen_crossdim_proposal_only,0,final_frontend_backend_factorial_d1000_n13,20,domain=InventorySupplyChain
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,20,1.0,,,stacked_vs_proposal_only,1.0,,,0,0,0,0,0,0,20,0,0,,,,,397.0,384.0,502.6,3.0,10.0,0.0,105.6,13.0,118.6,105.6,stacked_transfer_gp_cbo:official_transfergpbo_code,0,0,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,1.0,20,0,1.0,,,0.0,0,0,0,0,20,0,,,,,394.0,384.0,506.0,0.0,10.0,0.0,112.0,10.0,122.0,112.0,frozen_crossdim_proposal_only,0,final_frontend_backend_factorial_d1000_n13,20,domain=QueueResourceControl
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,0,1.734723475976807e-18,,,source_frontend_effect_saas,1.734723475976807e-18,,,0,0,0,0,60,0,60,0,0,,,,,397.0,384.0,573.5333333333333,3.0,10.0,9.066666666666666,167.46666666666667,13.0,189.53333333333333,176.53333333333333,canonical_saasbo_every_iteration,0,60,final_frontend_backend_factorial_d1000_n13,60,,,,,,,,,,,,,,,,60,1.0,1.0,1.0,,1.0,0,,,,,,0,0,0,0,0,0,,,,,13.0,0.0,349.0,3.0,10.0,0.0,336.0,13.0,349.0,336.0,canonical_saasbo_every_iteration,0,common_sobol_frontend_negative_control_d1000_n13,0,all
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,0,1.9073486328125e-06,,,source_frontend_effect_saas,1.9073486328125e-06,,,0,0,0,0,20,0,20,0,0,,,,,397.0,384.0,489.8,3.0,10.0,0.0,92.8,13.0,105.8,92.8,canonical_saasbo_every_iteration,0,20,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,,,,20,1.0,1.0,1.0,,1.0,0,,,,,,0,0,0,0,0,0,,,,,13.0,0.0,349.0,3.0,10.0,0.0,336.0,13.0,349.0,336.0,canonical_saasbo_every_iteration,0,common_sobol_frontend_negative_control_d1000_n13,0,domain=FactorShockStatePolicyRZDT1
,False,,0,0,,,,,,,True,,0,0,,,,,,,False,,0,0,,,,,,,True,,0,0,,,,,,0,1.9073486328125e-06,,,source_frontend_effect_saas,1.9073486328125e-06,,,0,0,0,0,20,0,20,0,0,,,,,397.0,384.0,613.0,3.0,10.0,14.4,201.6,13.0,229.0,216.0,canonical_saasbo_every_iteration,0,20,final_frontend_backend_factorial_d1000_n13,20,,,,,,,,,,,,,,,,20,1.0,1.0,1.0,,1.0,0,,,,,,0,0,0,0,0,0,,,,,13.0,0.0,349.0,3.0,10.0,0.0,336.0,13.0,349.0,336.0,canonical_saasbo_every_iteration,0,common_sobol_frontend_negative_control_d1000_n13,0,domain=InventorySupplyChain
