track_id,method_identity,domain,submitted_rows,successful_rows,failed_rows,true_feasible_count,certified_count,false_certificate_count,median_feasible_regret,mean_feasible_regret,mean_source_calls,mean_target_initial_design_calls,mean_target_adaptive_search_calls,mean_target_search_calls,mean_target_safety_verification_calls,mean_target_objective_comparison_calls,mean_target_verification_calls,mean_target_total_calls,mean_optimization_calls_excluding_verification,mean_source_plus_target_total_calls,mean_aleatoric_log_variance_rmse,mean_aleatoric_variance_rmse,mean_aleatoric_upper_coverage,mean_aleatoric_variance_shape_correlation,post_run_aleatoric_audit_count
common_sobol_frontend_negative_control_d1000_n13,canonical_saasbo_every_iteration,FactorShockStatePolicyRZDT1,20,20,0,0,0,0,,,0.0,10.0,3.0,13.0,336.0,0.0,336.0,349.0,13.0,349.0,,,,,0
common_sobol_frontend_negative_control_d1000_n13,canonical_saasbo_every_iteration,InventorySupplyChain,20,20,0,0,0,0,,,0.0,10.0,3.0,13.0,336.0,0.0,336.0,349.0,13.0,349.0,,,,,0
common_sobol_frontend_negative_control_d1000_n13,canonical_saasbo_every_iteration,QueueResourceControl,20,20,0,0,0,0,,,0.0,10.0,3.0,13.0,336.0,0.0,336.0,349.0,13.0,349.0,,,,,0
common_sobol_frontend_negative_control_d1000_n13,common_sobol_proposal_only,FactorShockStatePolicyRZDT1,20,20,0,0,0,0,,,0.0,10.0,0.0,10.0,336.0,0.0,336.0,346.0,10.0,346.0,,,,,0
common_sobol_frontend_negative_control_d1000_n13,common_sobol_proposal_only,InventorySupplyChain,20,20,0,0,0,0,,,0.0,10.0,0.0,10.0,336.0,0.0,336.0,346.0,10.0,346.0,,,,,0
common_sobol_frontend_negative_control_d1000_n13,common_sobol_proposal_only,QueueResourceControl,20,20,0,0,0,0,,,0.0,10.0,0.0,10.0,336.0,0.0,336.0,346.0,10.0,346.0,,,,,0
common_sobol_frontend_negative_control_d1000_n13,stacked_transfer_gp_cbo:official_transfergpbo_code,FactorShockStatePolicyRZDT1,20,20,0,0,0,0,,,384.0,10.0,3.0,13.0,336.0,0.0,336.0,349.0,397.0,733.0,,,,,0
common_sobol_frontend_negative_control_d1000_n13,stacked_transfer_gp_cbo:official_transfergpbo_code,InventorySupplyChain,20,20,0,1,1,0,0.010818170171363162,0.010818170171363162,384.0,10.0,3.0,13.0,336.0,0.0,336.0,349.0,397.0,733.0,,,,,0
common_sobol_frontend_negative_control_d1000_n13,stacked_transfer_gp_cbo:official_transfergpbo_code,QueueResourceControl,20,20,0,0,0,0,,,384.0,10.0,3.0,13.0,336.0,0.0,336.0,349.0,397.0,733.0,,,,,0
dimension_budget_frontier_gate_proposal_d200_d1000_n10,frozen_crossdim_proposal_only,FactorShockStatePolicyRZDT1,10,10,0,10,10,0,0.00824999999999998,0.00824999999999998,384.0,10.0,0.0,10.0,80.0,0.0,80.0,90.0,394.0,474.0,,,,,0
